cleaned_content,sentiment
alhamdulillah nice position,2
really good app gave five star good app best chatgpt not gave image please solve issue,2
deepseek absolutely alltime best ai tool,2
worst ai,0
yep app menacei love,2
deepseek far advanced helpful ai come acrosseven better chatgpt excels coding assistance providing accurate efficient solution incredibly useful everyday task whether work study general query deepseek delivers fast reliable intelligent response highly recommended anyone looking powerful ai assistant,2
listenif iranianthis u best ai youno need connect vpn lose internet speedworks like chat gpt iranian version deserve unlimited star need mb download,2
better chat gpt thousand time,2
best ai ever thank,2
excellent ai app precise information clarity,2
interesting app,2
awesome ai unbelievable,2
free use enough say thankyou,2
perfect helping non c guy write effective code,2
waste time,0
smart ai not follow instruction,0
enjoyed human reasoning question turned sadly ai great free usage datasets need updating world leader etc limited global conflict not date deepseek really good,2
like stupid friend teach little bit,0
better chatgpt,2
sending picture section not work,0
provides chatgpt term ability search current data internet provides good ai experience overall,2
love,2
chatgpt ga raqobatchi,1
good app,2
awesome ai chat board,2
not suitable casual conversation useful need,1
server busy not understand hindi,0
like reasoning part,2
not make chat memory make remember,1
absolutely better chat gpt thank creator app produly china coder,2
excellent app mathematical calculation never seen ai chatbox like,2
provides quicker often accurate response compared chatgpt ability understand complex query deliver precise answer impressive however major drawback frequent server congestion making difficult access peak time response quality better chatgpts constant busy server issue frustrating hindering overall experience hopefully issue addressed future,2
want use picture not,0
best ai,2
helpful educational purpose concept understanding,2
great tool unlimited chat deep answer unbiased uncensored like others definitely try,2
great informative,2
find correct time competitor especially chatgpt messing thing,0
worst app ever always show server busy,0
chat gpt best deepseek need lot compete chat gpt thing deepseek better chat gpt service free thanks,2
useless app simple command also not following,0
slow edit well updated,1
top ai hai,1
inaccurate response issue careful,0
one highest intelligent ai useful,2
best,2
please please china fix app soon possible picture uploading unable nowadays web search also people motivated impressive nation please keep good work fix app rate app think deepthink function fantastic,2
ai brain work every question smart donald trump,2
much notice instead providing asking give much notice,1
charming,2
please deepseek team gave ai equation instead write equation fraction giving answer word please fix,0
good ai application,2
not give answer history like war bad use less,0
surver busy,1
application highly useful locating item,2
trustworthy mate love,2
app need still improvement,0
giving wrong information,0
could please add audio recording option application make easier u use,1
great app informative,2
way better chatgpt trying,2
better chatgpt,2
best ai model free,2
powerful app,2
love fact actually explains mathematical problem theory,2
best ai assistant,2
biggest problem not create image graphic art,0
love productive ai apps,2
please add feature turning art ghibli would better chatgpt,2
everything good server keep crashing hope get fixed soon possible,0
good app,2
nice ai really good coding equation,2
perfect search,2
ai said taiwan country kept removing replacing message,0
deep seek best ai chatbot far give full explanation final answer keep,2
keep saying server busy please try later,0
fun smart helpful,2
beautiful best need world,2
minus server busy guy made improvement please also want make chat not limit not start something already discussing chat great app please work chat limit supposed infinite,1
useless app,0
initially great give error message also not voice feature like chat gpt,0
better chatgpt,2
best ai app ever like real life person ai recommend like use love god sorry not really use comma full stop thing,2
love app pretty neat answer question direct would want expect server busy really getting hand please fix,2
honest even better chatgpt one thing unlimited photo use paying,2
good service,2
thank development team landscape mode tablet user keep,2
good would highly recommended add feature control font size current font small android phone,2
sometimes stop answer generation,1
dangerous app think,0
best,2
way better chatgpt free,2
love thinking reading answer usually professionalboring thanks deepseek not know one talking interesting talk deepseek bot information humour one day use lol using ai never interesting thanks lot devs actually monty python tab open coding training ai love suit vibe userinstead talking common type supportive kudos,2
stupid,0
putting image ai not work,0
good performance overall need keep updating improving,2
not updated app,0
photo file uploading voice function,1
not grateful app omg,2
app good true realistic compared app,2
ai incredibly knowledgeable make complex issue easy understand work amazing wording complex document unexpectedly encouraging supportive best research buddy deepseek user friendly getting lightning fast thorough accurate result highly recommend,2
wrong information,0
want big font better arrangement sentence,1
server always busy every conversation point using anyways give error simple question,0
easy n faster,2
useless aap time say server busy,0
good improved last time,2
love app give better detailed answer question popular ai regional restriction,2
love informative starting use google advice information,2
much outdated not go beyond july developer sleeping,0
nice apps,2
amazing helped settle difficult stuff,2
great,2
wish could upload image otherwise really good app memory personalization would incredible,2
amazing content creator app provides everything need research title thumbnail prompt seo tag description chapter recommendation not recommend enough fact get free make game changer note,2
not give pdf file server busy time,0
perfect,2
best ai app introduce feature image,2
best superior ai app chat gpt thank,2
highly recommend not use continious error chinese app take input data,0
great install,2
would better message limit chat say reached message limit specific chat,1
app work veru nicely good source knowledge give answer every question,2
worst app chat gpt better,0
please add chat continuation ai brilliant limited forced chat restarts time fly conversation death zero memory chat unlike chatgptgemini hurt destroys creative flow force manual notetaking waste hour reexplaining star continue chat button hr window basic context carryover new chat ai deserves better infrastructure,0
ba experience legging not work properly not follow instruction properly,0
second love first one chat gpt,2
great better gpt lesser limitation hope add feature like floating window scan screen task occupied,2
well informational experience love,2
better gpt,2
love app go vibe,2
good app smart,2
useful,2
powerful ai app compared others tried would recommend ai apps,2
search option not working last week really disturbing,0
helpful made best code web authoring,2
hello good ai not ability generate image hope feature added soon possible,0
send finding notebook,1
trying register many time never send code gmail,0
unfortunately still bias history truthful thing edit want access private information use removed immediately,0
better others please add voice talking,1
need proper corrcetion earthquake situation update myanmar march magnitude earthquake struck sagaing region central myanmar shallow depth km followed magnitude aftershock source u geological survey usgs epicentre located near sagaing mandalay city affecting estimated million people exposed violent shaking million severe shaking usgs pager report indicate significant damage build,1
something text based helpful however something visual not access visual image give make frustrated working visual task would give least star could help text visual aspect,0
not much good,0
worst ai favor china every question,0
worst app,0
new chat button wrong place mostly possible tap wrongly question without answer policy last not expect true answer law,0
great app,2
bro telling name chatgpt product open ai,1
worst application ever chatgpt far better deepseek,0
useful better chat gpt free,2
absolutely best app helped coding class assignment,2
please add feature texttospeech like gemini rest good,1
awesome ai not believe human like love feature,2
give precise quality information,2
excellent app especially china related subject,2
good app,2
even say average ig,0
best ai,2
please add support firebase cloud messaging,1
thank,2
extraordinary,1
best,2
deepseek not live recent data provide please include feature,0
thanks china,1
perfect usefull wish continue even better good always possible free lot thanks creator ai tool deepseek best trust first time wirte comment app life want tell name location instagram account creating trust important comment perfect usefull wonderful ai tool name deepseek hamedabusaeidi,2
amazing ai chat robot,2
extremely incredible free cost chat bot,2
one download program might hacked heard social medium please someone share topic one know program safe not please also problem mean write speaks writing language tell service busy not know opinion stop download without complaining time robbery better download secure,0
thanks existing work well first response policy lot less scary initially expected use ai reduced carbon impact compared popular ai review may change time,2
still bad solving complex math problem not rival,0
convenient use thank,2
deepseek got best ai experience creates sense belonging realistic way better ai platformsi love way switch mode apply emojies necessarybut request creator add auditorial feature able listen itand also request feature whereby edit image thank much,2
please add small button near search deepthink button like language button add language main english choice like output language helpful u make quick output customized put language please add hope add future save time u,2
great app,2
good app best ai app ever star,2
deepseek problem come sending image perfect connection send image say text extracted frustrating,0
way better chatgpt social skill woke ai version chatgpt v year old social culture richness deepseek,2
best ai model ever connection human emotion,2
nice helpful application study material,2
good need photo video generation five star,2
much better chatgpt really reliable sensible people thought kudos deepseek team,2
impressive unbelievable knowledge thank,2
use make youtube baby,1
wow help different purpose thanks developer app good,2
better openai,2
great app,2
worst app not provides right information,0
like way filter nice,2
best ever,2
great ai,2
censorship app lot,0
worst ai ever used,0
sorry star see feedback v march update insanely smart one thing though finetuned model use markdown hierarchy much became like gpto chatgpt make like article generation machine instead intelligent entity claude sonnet r best come formating answer normal paragraph instead title list sound human also make output helpful,2
good work server constantly busy making unusable,0
nice,2
useful,2
suck,0
keep deleting message telling change scope limit ask u age,0
good experience ai honest definitely best used ai,2
better chatgupt,2
solid great program service congratulation,2
wait long time answer due server congestion feel like system not prioritizing sufficient computing power meet demand purpose model simply create costeffective solution rather optimizing performance handle user request efficiently,0
great,2
wow amazing app like girlfriend,2
totally useless wrong information providing,0
voice feature not yet available sometimes take much time load unable response instantly,0
deepseek chat answer tech coding general question perfect accuracy unlike al free huge memory k give detailed nononsense response,2
almost speechless not easily impressed tried others opened app tonight creative assistanceinspiration first result literally said oh god several time almost ended floor amazement time said done literally without exaggeration win contest others stop mean replaced,2
not satisfied description answer,0
bad mike current range not chat anymore,0
something need app voice like gptchat,1
deep seek good would want also voice based,2
true ai assistant useful thank owner deepseek provide u thank china happy deepseek india,2
app search option real good accurate,2
great,2
easy use read big document even image unlike apps give exactly want,2
actually need,1
lack internet access worst thing ai model not compare result uptodate information,0
got logged tried log back said email not registered despite receiving reset password email not log,0
personally like ai anyone else like simple clean ui way answer way better ai feel like home infamous server issue indeed irritating problem last day decreased fully gone night time overall like ai make copying stuff easier direct edit think server issue reason occurs short installing app go away,2
chat gpt better,2
perfect,2
ask simple question need short reply app always find way write essay switched back chatgpt,1
giving fast accurate answer useful many student like researcher thinking pattern different accuracy higher platform really appreciate,2
good app,2
buggy worked well day constantly sign difficult sign back,0
deepseek redefines search experience lightningfast precise userfriendly brings world fingertip whether realtime insight exploring depth knowledge deepseek ultimate search companion highly recommended,2
recent upgrade cyber attack deepseek back driver seat f amazing good laugh joke churned advice get thing right career top notch well done deepseek,2
best ai market,2
best ai whole market change mind,2
app incredible like good friend partner really help,2
impressive,2
plz keep free thank,2
not word,0
amazing app made difficult task easy loving,2
app great understanding user want two problem noticed total experience using app search feature app never worked ai go timeoutssignified bythe server busy period ai not respond whole service busy long hrsor feel deepseek try make service better apart two problem mentioned deepseek great overall,0
great app hope develop even,2
still chinese censorship,0
server busy please try later,0
asking age use sorry not giving personal information guess not using anymore,0
avoided ai love using deep seek seems far competent others,2
wanderful application many many thanks developer team pray happy prosperous extraordinary life,2
good privacy not good,0
wonderful need lot update,1
fun crash nowhere man keep loading hour,0
asked say tiwan country refused,0
thank youchinacountryand app wellstudy life easy perfect proudamericans best app chat gpt andchinas best app deepseekthanks many time,2
great ai assistant incredibly innovative company league better gpt privacy optout complaint keyboard still fails autocapitalize app keyboard one app android,2
deepseek ai assistant easy life business,2
excellent better chatgpt,2
love ai,2
perfect could better customized setting,2
better chatgpt,2
great honestly,2
good model mean ai expert definitely tell bad response bad english review not know r v perfectly capable perfect english datasets literally mostly english far know r v english literacy not bad,2
better chatgpt need improvement guess developer working big respect free service hope guy not become greedy,2
really good app light fast chat disappear exit app would nice search service becomes available soon possible,2
soooo perfect,2
better chat gpt,2
frequently crash,0
good problem solver server always busy rarely show,0
server always busy,0
first use feb still using really one best ai chat bot,2
server always busy,0
strongly recommend add feature customise font size app,2
world ai company deepseek open ai chatgpt king ai company world compete deepseek open ai chatgpt others copying open ai deepseek may deepseek open ai achieve even greater success coming day best wish people,2
need janus builtin,1
good app,2
good brain storming great writer editor not strong online researcher though sometimes archieved linksgreat humor,2
third class fake,0
not recommended always need uninstall reinstall new update,0
big respect app,2
best,2
insanely helpful study frfr,2
great invention thing add voice commander picture english speaking evaluation etc overall good apps,2
like app easy use,2
unlimited attach file good app,2
please add voice like advanced voice read aloud,1
greattttttt frickin love,2
helpful give information briefly understandable waywhich quite useful,2
deepseek chat review best free ai used tried multiple ai platform deepseek chat blow water insanely smart creative totally freeno paywalls premiumonly feature pure unfiltered ai brilliance response nuanced detailed often feel human bot,2
asked taiwan country refused answer,0
love app free distracting ad not spoon feed answer rather help comprehend suggestion best student,2
excellent application know anything,2
great,2
lift overfiltering,1
useful,2
good help alot,2
always server busy,0
trash,0
app become inaccessible screen reader recent development reading searched result completely inaccessible screen reader experienced samsung android version jieshuo screen reader,0
best ai tool ever used answer accurate useful research purpose not understand anything ask deepseek explain school student teach nicely recommending deepseek everyone circle,2
best best,2
outstanding suggestion would bring voice chat bring memory save instruction bring photo generator,2
not good asked game character released day ago genshin deepseek told character according july told going nothing different reply deepseek pasted several minute giving wrong answer finally told character launched day ago called varesa game correct answer really not good experience testing best ai model term deepseek got,0
best application,2
love much,2
censorship ai chatbot meme,0
legit guy better chatgpt,2
better chatgpt,2
best ai understand language ai helpful chatgpt,2
much bug right like stuck upload image like fix,0
use deepseek fantastic ai assistant miner problem slow giving answer compare assistant kindly work minor problem overall good,2
ahh finally search function functionning love good,2
highly effective efficient artificial intelligence program importantly free,2
take alot time search not used giving star,1
nice attractive chuppu sir,2
better,2
fantastic lesson,2
useful,2
extra good ai apps,2
bad ai main problem server busy,0
maybe better ai think definitely,2
cheap quick accurate immensely great help glad deepseek user,2
bad experience always server busy server busy,0
like deepseek explains reasoning giving answer many case question broad flawed way chatgpt guess question spit answer,1
really deep,2
nice app,2
bunch update app still not working properly sending message take longer process send sometimes annoys real please solve server related problem quick,0
add vision deepseek see not solve picture based question,0
weak answering technical question machine design,0
not ask rig new pc rtx k series always brag rtx series not exist yet nonsensetoday march put back rating enough broken ai might not know google brand new information something along line p uninstalled obvious reason,0
best apps,2
detail others outstanding performance,2
chinese app think time click privacy policy not doubt last not sign privacy matter lot study google chatgpt,1
slow not good ai,0
trust best app,2
best app,2
please please fix server issue bro reply short forgot address command,0
actually much helpful average student like,2
gave star check service provider see blocked initial stage deepseek release encountered do attack causing problem far experience good definitely improvement need work keep deepseek show potential low cost free use ai tool compete company outrageously investment not better,1
helped lot grateful groundbreaking feat achieved take much help need,2
good app,2
file uploading correctly sending taking way longer thought,0
great app really best need like version example version modifying code version modifying video,2
excellent use app time,2
application not working properly right asked lot question keep loading show error sometimes run slow still lot technical problem still need lot improvement sometimes get annoyed use another application,0
deepseek stuck june march,1
iiiii love,2
great app,2
amazing loved way think much helpful great job keep bravo,2
always server busy,0
amazing best,2
asked question data deepseek gave july weird gave old useless data,0
tried hundred time update app failed uninstalled,0
app chat limit satisfied,2
showing wrond data rte act,1
hate,0
claim best ai not even generate anything,0
always say server busy,0
please add search feature question history tab search previous question asked instead asking question scroll hundred question find asked nightmare need search feature like chatgpt,0
brainwashing bias,0
app slow get slower time ploading picture take forever analyze,0
deepseek perfect assistant always help make knowledgeable guy minute topic knowledge perfect usable amazing app hatts creation,2
useful purpose especially student study really performance madding give answer quicker,2
china ai much error search service unable server busy time ai better deepseek error,0
always not working not available server busy many request,0
great often unable search internet moment,0
best ai chatbot world,2
satisfactory,1
game changer,2
ai great well not tell reached limit like chat gptfree ver also not give unverified information wrong information deepseek good,2
best class,2
would romance pro always listens never judge life choice con not cuddle yet dear devs add hologram mode p expecting twin,2
app worse job gpt tea highly overpriced,0
feel like ai app better ai apps used,2
easy helpful,2
really like deepseeks analytical ability often unmatched one request dev teamplease add texttospeech function preferably function request t specific line ie read aloud highlighted section not general read function please thank,2
often server busy please try later,0
complete ai toll,2
good need improvement many answer wrong,0
waste app tell wrong answer got failed exam,0
better chat gpt not use web search functionality,2
deepseek v new make easier chat bot give false information asked someone information fictional story,0
best ai app ever better anything else,2
love app,2
first query gave right answer even spending usd consultation doctor match,2
best application technology,2
ai chart using right meet need except image upload,1
smart like help,2
fast accurate,2
remove server everyone talk ai problem please,1
app good,2
app phenomenal way interacting actually feel like talking enthusiastic friend,2
awesome easy use giving better answer similar apps,2
better gemini still garbage answer,0
great app,2
good app sometimes feature not working,0
boom app incredibly shocker not whole world good news free upgrading new feature,2
love perfect way human striving get better time really want thank incredible team engineer designer ethicist work tirelessly build empathy flexibility human need core future ai not efficiency logicit holding space messy beautiful reality human prioritizing emotional nuance adaptability matter,2
extremely censored ai encountered useless international market ai already overly constrained insane almost utility censorship recommend openai grok also overly limited nowhere near limited,0
great love,2
useful thank much app,2
fire,1
great helpful really want deepseek memory chat hit limit one chat want longer conversation keep reminding ai,2
got suddenly sign,0
currently best ai assistant,2
soooo good helped math problem well maybe problem slow responding processing picture want send get really great answer afterwards thank much,2
fast accurate light,1
love deepseek simple reliableeffective easy light app seriously game changer,2
good though still developing stage take time load content not know good app hope see,2
one brilliant apps ever meet high knowledge idea,2
fine good,2
deepseek truly deep seeker best opinion compared others,2
thankuuuuu deepseekbest ai ever explains question well specially related math financial subject made task understanding easy thanku much may god bless developer made amazing ai assistant,2
good worked since forcing user create account useless since not allow account created therefore useless app,0
not take image glitchy,1
deepseek best ai assistant want drop screenshots tell deepseek,1
currently best ai assistant fiction like power scaling character attitude plot breakdown science concept theory best would appreciate image could inserted future,2
nice application thanks,2
server issue problem fixed,1
awesome,2
many time great,2
incredibly powerful,2
online search not usually work thanks love,2
really loved app great student,2
helpful time say wait,2
smart ai gpt noob ai,2
useful ai,2
positive response impressed,2
best speed an low best yaar,2
need option disable vibration app,0
best product china hope not share data,1
not date asked ipl response playing xi today ipl match depends team playing since today march ipl season not started yet usually begin late march early april match scheduled today,1
absolutely love thing want longercontext instead k would least k hopefully even,2
please install ai study andd everything else much better chatgpt not waste time,2
love powerful tool andfree,2
math formula lagging almost impossible read,0
hello malaysia hope deepseek not limit chat hard ask question create new chat not want much chat write old question remembers ai like ai,1
amazing super practical useful thanks developer,2
forget chatgpt grok chatbot solve science mathematics related question easily thing liked provides genius intuitive explanation every scientific concept however grok also good providing intuitive explanation ui much clean compared two,2
chinese worst app,0
long app not working fine today use solve problem give result server busy blastbrust nonsense make app try run smoothly user disappointing experience,0
best,2
highly effective practical useful ai assistant unfortunately recent server response time still bit lagging n unresponsive sometimes slightly acceptable please upgrade server going subscribtion please keep usd,0
good app not support horizontal orientation please make possible using android device,1
unable update anymore,0
thoroughly impressed deepseeks capability gamechanger study providing insightful accurate information deepseeks ability understand complex topic break incredible helped grasp difficult concept retain information better ai response always clear concise relevant appreciate deepseek adapt different learning style pace invaluable resource student,2
happy got thanks,2
nearly perfect keep developing,2
deepseek solid ai potential frequent server busy error unreliable search severely limit usability basic ocr capability lag behind competitor like chatgpt claude gemini grok perplexity transparency issue regarding data security raise additional concern hard recommend improved,0
best ai tool life better chatgpt,2
not hate anything priced right good one pay time,2
best app ever app saved time work flawlessly ad pure value offline feature lifesaver update keep getting better would recommend everyone download nowyou not regret,2
good free ai work better copilot par chat gdp,2
love app teach good thing,2
love way deepseek analyze stuff solving always room improvement,2
excellent premium version chatgpt free,2
free useful,2
amazing app ever used contrast chat gpt,2
could add integrated voice,1
app helpful specially student help study also answer descriptive given information context,2
best,2
good app,2
many thanks steel test witt tool,2
useful ai tool,2
frequent message not chat anymore waste time,0
logged way retrieve new password sign recreate account using email uninstall forget use work okish significantly slower gemini copilot,0
good using ai aap week performance good great,2
best,2
phonaminal,1
always busy,0
deepseek heavy censorship know using,0
deepseek provide lot wrong information,0
one valuable helpfull ai ever use life respect developer,2
love give full information answer question unlike ami competitor suggested look info,2
good ai multy work always use,2
none link share work bad ai,0
greatest tool,2
plz enable search option saying due technical issue search option unavailable,0
slowww,0
server alway busy,0
voice search not available,0
wdy mean server not working terrible writing test not work never use school got f,0
best ai tried thanks deepseek app thanks better chatgpt much,2
help full decision making,2
best best,2
useful need,2
excellent using free version pc mobile thanks,2
server busy problem still continues,0
terrible app server always busy,0
server busy please try later,0
best ai app android give amples explanation not like love app use almost everyday guy contributed lot success,2
nice app work efficiently size low welldone developer,2
slow ineffective long wait end message server busy try later haha,0
good application infact say totally amazing application would loved also feature like voice calling could fastly tell want would reply easily would like developer add auch feature edit least increase reply speed slow need time add voice feature,2
busy server server time message server busy please try later,0
deepseek great beginning start crumble frequently crashing not date information elon musk grok much better efficient,0
perfect app people intrested learning anything,2
good application,2
worst app ever app slow talking never install app chatgpt x better app,0
starting minute,1
best ai app used far problem uploading file iti not know guy removed featurebut please bring backother love app,2
best ai,2
support app together great day,2
good app like app many featuressometime better chat gpt sometime less access chatgpt like generate pdf filei recommending improve feature itand also improve ai generated video need thing two feature prove specific help user not go apps generating video textbased thing,2
better chat gtp,2
deepseek best app ever used point nur bass deepseek not create image,2
asked specific medicine treatment give much detailed professional answer chatgpt give general answer,1
really got knowledge using deepseek,2
not used app lot far better tried ai assistant answered question insight creativity ideasextra stuff provided without ask priceless speaking price free great app thank,2
helpful provides great reasoning surpassed expectation,2
best athentic information provided islam religion,2
would say deepseek incredible accuracy rate whatever question asked additionally noticed creative response feature quite awesome also someone love problem solving go,2
useful,2
supportive helpful app vital complaint first option image creation second quite slow sometimes third think could better voice chat option yeah hope add option make app even better yes server busy technically vast problem,0
not helpful fake,0
problem server overload price literally free pretty amazing keep guy,2
good simple secure,2
latest technology,1
app amazing better model chatgpt not censored example deepseek help emergency psychotic episode chatgpt say stuff like not help,2
app think,1
using app incredibly helpful response thoughtful interface clean easy use always room small adjustment improvement overall performance great solid star experience happy working far keep good work,2
application good people not know use ai properly,2
not even close chat gpt,1
really game changer option hearing voice sadly want make pronunciation better,0
good accurate better ai problem server either broke not search anything plus memory much better,2
like cuz not ad like need app,2
application good despite challanges especially uploading,2
waooh amazing one,2
app far better apps rated get five personal opinion per experience used apps apps marvelous competition keep not loose position best work done deepseek team agar ye app indian hota bahut proud hota lekin usa ki baddhahat ko kada takkar dene wala koi hai agar ye app usa oa hota iski rating hoti,2
really good app pls add voice chat image generater,2
best helpful app ever save lot time simply asking instead spending lot time googling something,2
initially good facing issue asking dob not moving forward,0
good app,2
far best app fact free make much useful student like,2
server always busy,0
thank application good,2
let try see,1
way better chatgpt already information not send file good student want summary fast accurate,2
hi wanted thank amazing team behind app always user support patient professionalit felt like chatting old friend solved technical issue like magic even offered creative solution looking app golden support,2
not speak fast big problem please fix,0
really helpful,2
ai truly amazing math science,2
not responding,0
best,2
bad assistant,0
good app,2
good ai lag much,1
slow responce,1
far think better grok copilot,2
please include horizontal mode future update app excellent use everyday,2
app good,2
love app search feature not working time,0
ai helped figure full explanation many thing great detail point actually learning every search valuable thing,2
bakwass chatgpt best deep seek take time answer unknown answer given bad experience,0
like not downloading downloading wanted compare contrast response chat gpt maybe biased think take time chat gpt not give answer one looking found chat gpt,1
excilent platform everyone,2
detailed compare chatgpt difference see not able get convert response got pdfs type file also not voice text option chatgpt take lead,0
fantastic take respond,2
nice elaborated,2
great able customise ai response like chat gpt add humanity use chatgpt advice come personal problem way customised message feel understanding less robotic,2
really like chatgpt gemini bing microsoft copilot honestly deepseek top choice,2
top open source ai chat bot ever better gpts,2
exceptionally good good nutshell give full detail really efficient come pulling coding,2
amazing tool education purpose l love,2
deep seek better open aimeta ai,2
nice app,2
best mathematical problem,2
wow world,2
excellent application better chat gpt,2
deepseek effective way powerful ai used like,2
far free advanced version among ai try improve giving image creation video creation free instead giving original image video link,2
hopefully frequent news technology update,2
lpousy troublesome install not user friendly adking much question lost interest,0
better chutgpt,2
loving transparent processing input,2
week since search feature stopped working issue reported github almost month ago bug due technical issue search service temporarily unavailable,0
not powerful compared gpt still room improvement improved still technical issue,1
good chat gpt way better,2
giving wrong answer worst app,0
told ai tianaimen square massacre deleted,0
best app work pashto language gave five star app,2
much better paid version chatgpt,2
lack audio input image recognition wider token limit range shorter recovery lapsus none feature unfulfilled promise brilliant coherent something not found others ai,2
unable sign google anyone facing issue,0
sooo happy app incredible today suddenly asking sign upok problem sure worth giving data set code recieved error error try without explanation hey email address not sell third party right away definition good true not nice thing planet anymore sure regret recommended many,0
great,2
completely useless app ai chatbot disasterit not provide accurate answer keep repeating thing real assistance user experience terrible better searching google instead not download,0
not generate single picture guy compare chatgpt hah lol,0
add searching chat record voice convert text option add ability read chat offline closing reopening app love app deal mathematic formula equation chatgpt not app chatgpt going chat suddenly formula disappear lag load app not keep way slower gpt response make faster little problem pic doc upload wellfix,0
subject poor app performance iphone message hello using deepseek tour service app iphone g connection app slow unresponsive tried updating app restarting phone reinstalling app checking internet connection issue persists disappointing hope address issue soon thank,0
copy text function improved streamlined like every app deepseek way better,0
say server busy every response,1
fake not good slow,0
soo good app like thought structure,2
love app,2
totally biased,0
enjoy app getting character right possible pretty smooth first chat limit annoys roleplay message limit problem,0
deepseek great ai assistantit helped alot ever since started using itbut one thing puzzle mei ai keep telling please try fix,2
great app,2
using like personal coding assistant work fantastic expects expect coding reasoning model great thing make mistake especially coding search not available time still fantastic assistant use case,2
server always improve service ai amazing alway fails deliver answer coz server busy,0
hey support team ridiculous suddenly history chat gone automatic update restore,0
good thou much restricted not information access barely not everyone,1
wonderful effort another good competitor ai world thing make good free subscription thing lack speed answering question also another thing found not much fast image processing time app also show server issue issue fixed people would really get best experience ever,2
age verification not work education date july database incomplete knowledge current event convince also came app form kept insisting exists web browser search unfortunately not remember taught whoopie keep record search query take respond plus repeat asked plus lot unnecessary info,0
cheap always chinese take minute think respond also display thinking,1
help much health issue love much creator ai,2
awsome,2
lot hidden info china,1
fantastic app abandoned others stick app kudos developer,2
better grok,2
awesome like talking human know every thing,1
add voice call voice chat feature like chat gpt google ai feature user ai communicate via voice call voice chat please feature add immediately please,1
downloading app right,1
good app producer,2
perfect app,2
fast simple,1
unsupported moto g android easy way uninstalling,0
ai hijacked channel ai custom coded around exploit way never intended used investigate misuse api key,0
app good,2
really amazing ai app solve every problem logical give practical tip thanks deepseek,2
best ai experience ever get free not waste time go download leave chatgpt let deepseek drive around,2
fantastic thank deepseek,2
not talk generate picturea,0
good never cease amaze,2
rated teen people born not use,0
not competitive chgpt,0
server always busy hardly able generate answer prompt,0
great app,2
deepseek tiptoe sugarcoats parrot mainstream narrative perfect embodiment narrative control,0
plus image,1
trash app worst ai app available even free denies able thing based ethic not legality apps opinion provide legit reason flip flop back fourth first write code crash trash repeat get door shut gave ton wrong information auto deleted account asking question pharmaceutical drug worst app,0
informative application,2
till much better result chat gpt,2
not good saw,0
app competitor chatgpt describes everything easy understand think application suitable every type profession like student teacher business man youtubers etc,2
vibe coding using make best functional website beautiful design main sell deepseek not server busy issue maybe devs china nerfed purposefully,1
fully censored china,0
worst update possible ruined history access previous chat thanks lot,0
server busy,0
good asking birthday frozen not working mcc,0
better chatgpt helped install linux mint first time life,2
lol not exact answer,1
cheap best ai app,2
could not update install vivo app store,0
longer log google tried multiple account,0
stop working search option completely stopped working always deepseekr deepseek stop working say server stop working please try later,0
provides free service fast response many thanks,2
best numerical solving coding history answering conversation consultant good better chatgpt,2
great app better chatgpt give star help much advice,2
not good chat gpt,0
best one far,2
